page_id,text,label,Pattern Category,cleaned_text
144,"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",1,Social Proof,"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil"
188, Products ,0,Not Dark Pattern,Products
133,Start SellingSearchWishlistAccountCartCart,0,Not Dark Pattern,Start SellingSearchWishlistAccountCartCart
1018,Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),1,Urgency,Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!)
714,Elegant A Line Short Sleeve Satin Bateau Floor-length Mother of the Bride Dress with Ribbon,0,Not Dark Pattern,Elegant A Line Short Sleeve Satin Bateau Floor-length Mother of the Bride Dress with Ribbon
1736, PopWallet+ Refine by Product Type: PopWallet+ ,0,Not Dark Pattern,PopWallet+ Refine by Product Type: PopWallet+
1736, Gold Refine by Color: Gold ,0,Not Dark Pattern,Gold Refine by Color: Gold
52,"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",1,Social Proof,"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago"
919, Paul Henry ,0,Not Dark Pattern,Paul Henry
714,Sexy A Line Short Sleeve Sequins Off-the-shoulder Floor-length Mother of the Bride Dress with Split Front,0,Not Dark Pattern,Sexy A Line Short Sleeve Sequins Off-the-shoulder Floor-length Mother of the Bride Dress with Split Front
402,"No thanks, I don’t like saving money.",1,Misdirection,"No thanks, I don’t like saving money."
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.
188, Sold out ,0,Not Dark Pattern,Sold out
1493,5 left,1,Scarcity,5 left
1612,Only 10 left in stock,1,Scarcity,Only 10 left in stock
1736,Did you know we have an app? Create shareable art and custom PopSockets designs with our unique image editing tools.,0,Not Dark Pattern,Did you know we have an app? Create shareable art and custom PopSockets designs with our unique image editing tools.
1604,Baby Size Guide,0,Not Dark Pattern,Baby Size Guide
1143,Only 1 Left in Stock!,1,Scarcity,Only 1 Left in Stock!
168,"Rick in Columbia, United States purchased a",1,Social Proof,"Rick in Columbia, United States purchased a"
1736, PopGrip MagSafe Refine by Product Type: PopGrip MagSafe ,0,Not Dark Pattern,PopGrip MagSafe Refine by Product Type: PopGrip MagSafe
192,"Someone in Chambersburg, Pennsylvania purchased",1,Social Proof,"Someone in Chambersburg, Pennsylvania purchased"
375,"No, thanks. I'd rather pay full price.",1,Misdirection,"No, thanks. I'd rather pay full price."
1604, Comfy and looks great ,0,Not Dark Pattern,Comfy and looks great
1658, newsletter signup (privacy policy) ,0,Not Dark Pattern,newsletter signup (privacy policy)
1428, #CERTIFIED_FACE_MASKS ,0,Not Dark Pattern,#CERTIFIED_FACE_MASKS
35,Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,1,Social Proof,Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF
1147,87% offers claimed. Hurry up!,1,Scarcity,87% offers claimed. Hurry up!
1115,Only 11 left!,1,Scarcity,Only 11 left!
213,40 users are currently active on our website just now.,1,Social Proof,40 users are currently active on our website just now.
215,7 people looked at this product in the last 24 hours.,1,Social Proof,7 people looked at this product in the last 24 hours.
1330, Most-Hearted Styles Shop Now ,0,Not Dark Pattern,Most-Hearted Styles Shop Now
583,Discount pending $10 OFF 00:30:00,1,Urgency,Discount pending $10 OFF 00:30:00
569,Buy Wearables»,0,Not Dark Pattern,Buy Wearables»
1330,Brandon Blackwood,0,Not Dark Pattern,Brandon Blackwood
151,2 people are viewing this,1,Social Proof,2 people are viewing this
1658," This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",0,Not Dark Pattern,"This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in."
1330,Fashion Forms,0,Not Dark Pattern,Fashion Forms
1658,"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",0,Not Dark Pattern,"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible."
1330,Lack Of Color,0,Not Dark Pattern,Lack Of Color
1428,Temporary Tattoos,0,Not Dark Pattern,Temporary Tattoos
190,Log in / Create an account,0,Not Dark Pattern,Log in / Create an account
1367,Rate & Review ,0,Not Dark Pattern,Rate & Review
1367, WANNA COLLAB? ,0,Not Dark Pattern,WANNA COLLAB?
1658,Cleaning Brushes & Tools,0,Not Dark Pattern,Cleaning Brushes & Tools
1330,Rachel Comey,0,Not Dark Pattern,Rachel Comey
569, Buy Tablets ,0,Not Dark Pattern,Buy Tablets
190,Already have an account?,0,Not Dark Pattern,Already have an account?
1369,Last chance! Only 1 left,1,Scarcity,Last chance! Only 1 left
1231,Only 3 Left!,1,Scarcity,Only 3 Left!
1433,Hurry! Only 2 left in stock!,1,Scarcity,Hurry! Only 2 left in stock!
1372,Only 1 in stock,1,Scarcity,Only 1 in stock
1330,My Story,0,Not Dark Pattern,My Story
369,I'LL PAY FULL PRICE,1,Misdirection,I'LL PAY FULL PRICE
1330, Year of Ours ,0,Not Dark Pattern,Year of Ours
1658,Gear Up,0,Not Dark Pattern,Gear Up
1330,Tretorn,0,Not Dark Pattern,Tretorn
1367, SHIPPING INFO ,0,Not Dark Pattern,SHIPPING INFO
1799,Spin to unlock your mystery offer,1,Misdirection,Spin to unlock your mystery offer
1407,Only A Few Left,1,Scarcity,Only A Few Left
569, Apple iPhone X » ,0,Not Dark Pattern,Apple iPhone X »
1428,Certified Face Masks,0,Not Dark Pattern,Certified Face Masks
1066,SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,1,Urgency,SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.
1087,Only 1 left!,1,Scarcity,Only 1 left!
136,5 people are looking at this product right now,1,Social Proof,5 people are looking at this product right now
1330,Nicholas Kirkwood,0,Not Dark Pattern,Nicholas Kirkwood
1367,Cowgirls,0,Not Dark Pattern,Cowgirls
884,"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",1,Obstruction,"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536)."
236,22 people have looked at this part recently,1,Social Proof,22 people have looked at this part recently
1093,89% offers claimed. Hurry up!,1,Scarcity,89% offers claimed. Hurry up!
269,"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",1,Social Proof,"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain"
1714,"No thanks, I just want the item",1,Misdirection,"No thanks, I just want the item"
1330,Victoria Victoria Beckham,0,Not Dark Pattern,Victoria Victoria Beckham
1330, Rain Boots ,0,Not Dark Pattern,Rain Boots
1227,only 2 left in stock,1,Scarcity,only 2 left in stock
1205,"Size low on stock, only 1 item left",1,Scarcity,"Size low on stock, only 1 item left"
1052,"Now 20% off, hurry limited time offer!",1,Urgency,"Now 20% off, hurry limited time offer!"
1008,Limited Time Offer!,1,Urgency,Limited Time Offer!
1658, View All Parts ,0,Not Dark Pattern,View All Parts
1480,Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -,0,Not Dark Pattern,Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -
1203,Only 1 left in stock.,1,Scarcity,Only 1 left in stock.
1658,Mechanic's Wear,0,Not Dark Pattern,Mechanic's Wear
1692,ONLY 11 LEFT,1,Scarcity,ONLY 11 LEFT
534,Work With More Buyers And Sellers?,0,Not Dark Pattern,Work With More Buyers And Sellers?
534,Build your own powerful multi-vendor marketplace website,0,Not Dark Pattern,Build your own powerful multi-vendor marketplace website
1167,Powered by,0,Not Dark Pattern,Powered by
1480,JerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,0,Not Dark Pattern,JerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -
1297,JUST 1 LEFT!,1,Scarcity,JUST 1 LEFT!
1222,"Don't miss out, only 2 left in stock",1,Scarcity,"Don't miss out, only 2 left in stock"
1729,Lenscap: Damage Only,1,Misdirection,Lenscap: Damage Only
190, Shop ,0,Not Dark Pattern,Shop
1658,Muc-Off,0,Not Dark Pattern,Muc-Off
1330, All Shoes ,0,Not Dark Pattern,All Shoes
1367, Also notify me about New Arrivals! ,0,Not Dark Pattern,Also notify me about New Arrivals!
619,ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,1,Urgency,ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds
1658,ROAD CLOTHING,0,Not Dark Pattern,ROAD CLOTHING
190,Shoes & Clothing,0,Not Dark Pattern,Shoes & Clothing
1428,Lifestyle / Music,0,Not Dark Pattern,Lifestyle / Music
569,Contract free,0,Not Dark Pattern,Contract free
684,0:44:56,1,Urgency,0:44:56
1055,Limited time offer.,1,Urgency,Limited time offer.
289,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",1,Social Proof,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair"
1428,Combination,0,Not Dark Pattern,Combination
1167,LESS THAN 5 LEFT!,1,Scarcity,LESS THAN 5 LEFT!
190,7 sold in the last 48 hours,1,Social Proof,7 sold in the last 48 hours
185,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",1,Social Proof,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently"
1367,ONLY 2 LEFT,1,Scarcity,ONLY 2 LEFT
595,Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,1,Urgency,Please Order Within: 0 0 : 0 2 : 4 1 : 10 65
378,"Nah, I'll pay full price",1,Misdirection,"Nah, I'll pay full price"
265,"2,229 people have viewed this item",1,Social Proof,"2,229 people have viewed this item"
1127,Only 2 units left!,1,Scarcity,Only 2 units left!
951,"An item you ordered is in high demand. No worries, we have prioritized your order.",1,Scarcity,"An item you ordered is in high demand. No worries, we have prioritized your order."
1212,Only 1 Left !,1,Scarcity,Only 1 Left !
67,117 people have viewed this item in the last 7 days.,1,Social Proof,117 people have viewed this item in the last 7 days.
534, Landofcoder can power almost ANY marketplace you think of,0,Not Dark Pattern,Landofcoder can power almost ANY marketplace you think of
1282,"HURRY, ONLY 1 LEFT!",1,Scarcity,"HURRY, ONLY 1 LEFT!"
205,#6 Bestseller in Rugs This item was viewed 92 times in the last day.,1,Social Proof,#6 Bestseller in Rugs This item was viewed 92 times in the last day.
1330,Free People,0,Not Dark Pattern,Free People
241,"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",1,Social Proof,"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack"
1658,Hurry Low Stock,1,Scarcity,Hurry Low Stock
1428,Lip Balms & Treatments,0,Not Dark Pattern,Lip Balms & Treatments
1658,View All Bearings,0,Not Dark Pattern,View All Bearings
1715,Personalize your doll,1,Misdirection,Personalize your doll
1367,The Wizard of Oz,0,Not Dark Pattern,The Wizard of Oz
954,"Sorry, this is out of stock. You just missed it.",1,Scarcity,"Sorry, this is out of stock. You just missed it."
380,No thanks. I don’t want to save money.,1,Misdirection,No thanks. I don’t want to save money.
1330,TRE by Natalie Ratabesi,0,Not Dark Pattern,TRE by Natalie Ratabesi
1658,"Sign Up To Our Newsletter To Receive News, Offers And Promotions.",0,Not Dark Pattern,"Sign Up To Our Newsletter To Receive News, Offers And Promotions."
451,"No thanks, I don't want discount",1,Misdirection,"No thanks, I don't want discount"
1032,"$3,159.20 $3,949.00 Limited time only",1,Urgency,"$3,159.20 $3,949.00 Limited time only"
1330,Just BEE Queen,0,Not Dark Pattern,Just BEE Queen
1330,Swedish Hasbeens,0,Not Dark Pattern,Swedish Hasbeens
773,1DAYS 04 HOURS 17 MINUTES 18 SECONDS,1,Urgency,1DAYS 04 HOURS 17 MINUTES 18 SECONDS
569,Return my item,0,Not Dark Pattern,Return my item
223,127 People viewed this product this week,1,Social Proof,127 People viewed this product this week
1330,Only 2 left.,1,Scarcity,Only 2 left.
569, Why buy from us ,0,Not Dark Pattern,Why buy from us
1330,What's New By Category,0,Not Dark Pattern,What's New By Category
114,"Jeremy in Warroad, United States purchased a",1,Social Proof,"Jeremy in Warroad, United States purchased a"
1658,Casual Wear,0,Not Dark Pattern,Casual Wear
569, Microsoft Xbox One S Wireless Controller » ,0,Not Dark Pattern,Microsoft Xbox One S Wireless Controller »
1264,ONLY 8 LEFT,1,Scarcity,ONLY 8 LEFT
66,Use the domain shortly after payment,0,Not Dark Pattern,Use the domain shortly after payment
315,"No, I'll rather pay full price.",1,Misdirection,"No, I'll rather pay full price."
1434,Your shopping bag is empty...,0,Not Dark Pattern,Your shopping bag is empty...
664, Chargers ,0,Not Dark Pattern,Chargers
66,Pick the price that matches your budget. ,0,Not Dark Pattern,Pick the price that matches your budget.
1317, Moonstone Beads ,0,Not Dark Pattern,Moonstone Beads
1247,Only 1 Item(s) left,1,Scarcity,Only 1 Item(s) left
1317, Amethyst Beads ,0,Not Dark Pattern,Amethyst Beads
825,HURRY UP > 09H 42M 39S,1,Urgency,HURRY UP > 09H 42M 39S
1749,Subscribe & Save,1,Misdirection,Subscribe & Save
181,57 PEOPLE HAVE LOOKED AT THIS TODAY,1,Social Proof,57 PEOPLE HAVE LOOKED AT THIS TODAY
1304,Printed ,0,Not Dark Pattern,Printed
1263,only 5 left,1,Scarcity,only 5 left
43,78 Persons looking for this product,1,Social Proof,78 Persons looking for this product
766,Universal Fit Collapsible Smart Phone Stand,0,Not Dark Pattern,Universal Fit Collapsible Smart Phone Stand
1304,Product Feature,0,Not Dark Pattern,Product Feature
1317,Parad Combo Deals ,0,Not Dark Pattern,Parad Combo Deals
1317, Cat's Eye Beads ,0,Not Dark Pattern,Cat's Eye Beads
443,No thanks. I don’t want deals.,1,Misdirection,No thanks. I don’t want deals.
930,"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",1,Sneaking,"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms."
3,Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,1,Social Proof,Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157
664,"› New Year, New Kit Sale",0,Not Dark Pattern,"› New Year, New Kit Sale"
66,"Jamie in Nashville, United States purchased",1,Social Proof,"Jamie in Nashville, United States purchased"
163,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",1,Social Proof,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown"
953,This item is in high demand.,1,Scarcity,This item is in high demand.
719,JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,0,Not Dark Pattern,JFN V Neck Lace Cut-Out Basic T-Shirt/Tee
766,or,0,Not Dark Pattern,or
